时间,湿度
时间,湿度
2025-08-27 21:02:31,87
2025-08-27 21:02:33,87
2025-08-27 21:02:36,86
2025-08-27 21:02:41,84
2025-08-27 21:02:43,84
2025-08-27 21:02:46,83
2025-08-27 21:02:49,88
2025-08-27 21:02:51,88
2025-08-27 21:02:54,88
2025-08-27 21:02:57,87
2025-08-27 21:03:02,86
2025-08-27 21:03:05,86
2025-08-27 21:03:07,85
2025-08-27 21:03:10,86
2025-08-27 21:03:13,85
2025-08-27 21:03:15,82
2025-08-27 21:03:18,81
2025-08-27 21:03:21,80
2025-08-27 21:03:28,79
2025-08-27 21:03:30,78
2025-08-27 21:03:33,77
2025-08-27 21:03:35,76
2025-08-27 21:03:38,75
2025-08-27 21:03:41,74
2025-08-27 21:03:43,73
2025-08-27 21:03:48,72
2025-08-27 21:03:50,71
2025-08-27 21:03:53,70
2025-08-27 21:03:56,69
2025-08-27 21:03:58,68
2025-08-27 21:04:01,68
2025-08-27 21:04:04,67
2025-08-27 21:04:08,66
2025-08-27 21:04:11,65
2025-08-27 21:04:14,65
2025-08-27 21:04:16,64
2025-08-27 21:04:19,64
2025-08-27 21:04:22,63
2025-08-27 21:04:24,63
2025-08-27 21:04:27,63
2025-08-27 21:04:32,62
2025-08-27 21:04:34,62
2025-08-27 21:04:37,62
2025-08-27 21:04:40,62
2025-08-27 21:04:42,62
2025-08-27 21:04:45,62
2025-08-27 21:04:52,61
2025-08-27 21:04:55,61
2025-08-27 21:04:58,60
2025-08-27 21:05:00,60
2025-08-27 21:05:03,60
2025-08-27 21:05:06,59
2025-08-27 21:05:08,59
2025-08-27 21:05:14,58
2025-08-27 21:05:16,58
2025-08-27 21:05:19,57
2025-08-27 21:05:22,56
2025-08-27 21:05:24,57
2025-08-27 21:05:27,54
2025-08-27 21:05:30,56
2025-08-27 21:05:32,56
2025-08-27 21:05:39,55
2025-08-27 21:05:42,55
2025-08-27 21:05:45,54
2025-08-27 21:05:47,54
2025-08-27 21:05:50,54
2025-08-27 21:06:00,54
2025-08-27 21:06:03,53
2025-08-27 21:06:06,53
2025-08-27 21:06:08,53
2025-08-27 21:06:11,53
2025-08-27 21:06:19,52
2025-08-27 21:06:22,52
2025-08-27 21:06:24,52
2025-08-27 21:06:27,52
2025-08-27 21:06:30,51
2025-08-27 21:06:32,51
2025-08-27 21:06:40,51
2025-08-27 21:06:42,51
2025-08-27 21:06:45,51
2025-08-27 21:06:48,50
2025-08-27 21:06:50,50
2025-08-27 21:06:53,50
2025-08-27 21:07:00,50
2025-08-27 21:07:02,50
2025-08-27 21:07:05,50
2025-08-27 21:07:08,50
2025-08-27 21:07:10,50
2025-08-27 21:07:13,50
2025-08-27 21:07:20,49
2025-08-27 21:07:23,49
2025-08-27 21:07:26,49
2025-08-27 21:07:28,49
2025-08-27 21:07:31,49
2025-08-27 21:07:34,49
2025-08-27 21:07:41,49
2025-08-27 21:07:43,49
2025-08-27 21:07:46,49
2025-08-27 21:07:48,49
2025-08-27 21:07:51,49
2025-08-27 21:07:54,49
2025-08-27 21:08:01,49
2025-08-27 21:08:04,49
2025-08-27 21:08:06,49
2025-08-27 21:08:09,49
2025-08-27 21:08:12,49
2025-08-27 21:08:15,49
2025-08-27 21:08:21,49
2025-08-27 21:08:24,49
2025-08-27 21:08:27,49
2025-08-27 21:08:29,49
2025-08-27 21:08:32,49
2025-08-27 21:08:35,49
2025-08-27 21:08:42,49
2025-08-27 21:08:45,49
2025-08-27 21:08:47,49
2025-08-27 21:08:50,80
2025-08-27 21:08:55,92
2025-08-27 21:09:03,93
2025-08-27 21:09:05,93
2025-08-27 21:09:08,93
2025-08-27 21:09:11,93
2025-08-27 21:09:13,93
2025-08-27 21:09:16,93
2025-08-27 21:09:19,92
2025-08-27 21:09:26,91
2025-08-27 21:09:28,91
2025-08-27 21:09:31,91
2025-08-27 21:09:33,90
2025-08-27 21:09:36,90
2025-08-27 21:09:39,90
2025-08-27 21:09:41,89
2025-08-27 21:09:47,88
2025-08-27 21:09:49,88
2025-08-27 21:09:52,88
2025-08-27 21:09:55,87
2025-08-27 21:09:57,86
2025-08-27 21:10:00,86
2025-08-27 21:10:03,85
2025-08-27 21:10:07,83
2025-08-27 21:10:10,84
2025-08-27 21:10:13,84
2025-08-27 21:10:15,83
2025-08-27 21:10:18,82
2025-08-27 21:10:21,81
2025-08-27 21:10:28,78
2025-08-27 21:10:31,78
2025-08-27 21:10:33,77
2025-08-27 21:10:36,76
2025-08-27 21:10:39,75
2025-08-27 21:10:41,74
2025-08-27 21:10:49,71
2025-08-27 21:10:51,71
2025-08-27 21:10:54,70
2025-08-27 21:10:57,70
2025-08-27 21:10:59,69
2025-08-27 21:11:02,68
2025-08-27 21:11:09,67
2025-08-27 21:11:12,67
2025-08-27 21:11:14,66
2025-08-27 21:11:17,65
2025-08-27 21:11:20,64
2025-08-27 21:11:30,63
2025-08-27 21:11:32,62
2025-08-27 21:11:35,62
2025-08-27 21:11:38,62
2025-08-27 21:11:40,62
2025-08-27 21:11:50,62
2025-08-27 21:11:52,62
2025-08-27 21:11:55,62
2025-08-27 21:11:58,62
2025-08-27 21:12:00,62
2025-08-27 21:12:03,62
2025-08-27 21:12:10,62
2025-08-27 21:12:13,62
2025-08-27 21:12:16,62
2025-08-27 21:12:18,61
2025-08-27 21:12:21,61
2025-08-27 21:12:31,61
2025-08-27 21:12:34,61
2025-08-27 21:12:36,61
2025-08-27 21:12:39,61
2025-08-27 21:12:42,61
2025-08-27 21:12:51,60
2025-08-27 21:12:54,60
2025-08-27 21:12:57,60
2025-08-27 21:12:59,60
2025-08-27 21:13:02,60
2025-08-27 21:13:12,59
2025-08-27 21:13:15,59
2025-08-27 21:13:17,59
2025-08-27 21:13:20,58
2025-08-27 21:13:23,58
2025-08-27 21:13:32,58
2025-08-27 21:13:35,58
2025-08-27 21:13:37,58
2025-08-27 21:13:40,57
2025-08-27 21:13:43,57
2025-08-27 21:13:53,57
2025-08-27 21:13:55,57
2025-08-27 21:13:58,57
2025-08-27 21:14:01,57
2025-08-27 21:14:03,57
2025-08-27 21:14:13,56
2025-08-27 21:14:15,56
2025-08-27 21:14:18,56
2025-08-27 21:14:21,56
2025-08-27 21:14:23,56
2025-08-27 21:14:26,56
2025-08-27 21:14:33,55
2025-08-27 21:14:36,55
2025-08-27 21:14:39,55
2025-08-27 21:14:41,55
2025-08-27 21:14:44,55
2025-08-27 21:14:54,54
2025-08-27 21:14:57,54
2025-08-27 21:14:59,54
2025-08-27 21:15:02,54
2025-08-27 21:15:05,54
2025-08-27 21:15:14,54
2025-08-27 21:15:17,54
2025-08-27 21:15:20,54
2025-08-27 21:15:22,54
2025-08-27 21:15:25,54
2025-08-27 21:15:35,53
2025-08-27 21:15:38,53
2025-08-27 21:15:40,53
2025-08-27 21:15:43,53
2025-08-27 21:15:46,53
2025-08-27 21:15:55,53
2025-08-27 21:15:58,53
