时间,温度
时间,温度
2025-08-27 21:02:30,28.8
2025-08-27 21:02:32,28.6
2025-08-27 21:02:35,28.5
2025-08-27 21:02:40,28.2
2025-08-27 21:02:42,28.2
2025-08-27 21:02:45,28
2025-08-27 21:02:48,28.9
2025-08-27 21:02:50,29
2025-08-27 21:02:53,29
2025-08-27 21:02:56,28.8
2025-08-27 21:02:58,28.5
2025-08-27 21:03:01,28.5
2025-08-27 21:03:04,28.5
2025-08-27 21:03:06,28.3
2025-08-27 21:03:09,27.9
2025-08-27 21:03:12,27.8
2025-08-27 21:03:14,28
2025-08-27 21:03:17,28
2025-08-27 21:03:20,28
2025-08-27 21:03:22,27.8
2025-08-27 21:03:26,27.5
2025-08-27 21:03:29,27.6
2025-08-27 21:03:32,27.5
2025-08-27 21:03:34,27.4
2025-08-27 21:03:37,27.4
2025-08-27 21:03:40,27.3
2025-08-27 21:03:42,27.4
2025-08-27 21:03:49,27.2
2025-08-27 21:03:52,27.1
2025-08-27 21:03:55,27.1
2025-08-27 21:03:57,27.1
2025-08-27 21:04:00,27
2025-08-27 21:04:03,27
2025-08-27 21:04:07,26.9
2025-08-27 21:04:10,26.5
2025-08-27 21:04:13,26.8
2025-08-27 21:04:15,26.8
2025-08-27 21:04:18,26.8
2025-08-27 21:04:21,25.9
2025-08-27 21:04:23,26.7
2025-08-27 21:04:26,26.8
2025-08-27 21:04:33,26.6
2025-08-27 21:04:36,26.6
2025-08-27 21:04:39,26.6
2025-08-27 21:04:41,26.5
2025-08-27 21:04:44,26.5
2025-08-27 21:04:47,26.5
2025-08-27 21:04:51,26.5
2025-08-27 21:04:54,26.6
2025-08-27 21:04:57,26.5
2025-08-27 21:04:59,26.5
2025-08-27 21:05:02,26.5
2025-08-27 21:05:05,26.5
2025-08-27 21:05:07,26.5
2025-08-27 21:05:13,26.6
2025-08-27 21:05:15,26.5
2025-08-27 21:05:18,26.6
2025-08-27 21:05:21,23.9
2025-08-27 21:05:23,26.4
2025-08-27 21:05:26,24.1
2025-08-27 21:05:29,26.4
2025-08-27 21:05:31,26.7
2025-08-27 21:05:34,26.5
